Protein	Structural Cluster	Cluster representative	Family	Class	Consensus Class	In_tree?	Best Hit UniprotKB entry	Best Hit UniprotKB name	Best Hit UniprotKB %id	Best Hit UniprotKB e-value	UniprotKB novelty%	Average identity	Average TM-score	Abundance	Redundant_names
ACT-17	C-I	21243713_len_452_MetaAn_63	ACT	Class_C	C	Yes	-	-	100	0	0	0.131	0.51579	0	ACT-113;ACT-122;ACT-123;ACT-15;ACT-27;ACT-32;ACT-33;ACT-35;ACT-40;ACT-42;ACT-43;ACT-44;ACT-56;ACT-65;ACT-7;ACT-70;ACT-73;ACT-74;ACT-85;ACT-86;ACT-89;ACT-94;ACT-C190;ACT-C192
CMY-152	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-103;CMY-109;CMY-110;CMY-112;CMY-115;CMY-116;CMY-117;CMY-118;CMY-135;CMY-168;CMY-170;CMY-180;CMY-181;CMY-41;CMY-48;CMY-50;CMY-51;CMY-67;CMY-76;CMY-79;CMY-84;CMY-87
EC-1150	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1000;EC-1002;EC-1003;EC-1004;EC-1005;EC-1006;EC-1008;EC-1009;EC-1010;EC-1011;EC-1012;EC-1015;EC-1016;EC-1017;EC-1018;EC-1019;EC-1020;EC-1021;EC-1022;EC-1023;EC-1024;EC-1025;EC-1026;EC-1027;EC-1028;EC-1029;EC-1030;EC-1031;EC-1032;EC-1033;EC-1034;EC-1036;EC-1037;EC-1038;EC-1039;EC-1040;EC-1041;EC-1042;EC-1043;EC-1044;EC-1045;EC-1046;EC-1047;EC-1050;EC-1051;EC-1052;EC-1053;EC-1054;EC-1055;EC-1056;EC-1057;EC-1058;EC-1059;EC-1060;EC-1061;EC-1062;EC-1063;EC-1064;EC-1065;EC-1066;EC-1067;EC-1068;EC-1069;EC-1070;EC-1071;EC-1072;EC-1074;EC-1077;EC-1078;EC-1080;EC-1081;EC-1082;EC-1083;EC-1084;EC-1085;EC-1086;EC-1087;EC-1088;EC-1089;EC-1090;EC-1091;EC-1092;EC-1093;EC-1094;EC-1095;EC-1096;EC-1097;EC-1098;EC-1099;EC-1100;EC-1101;EC-1102;EC-1103;EC-1104;EC-1105;EC-1106;EC-1107;EC-1108;EC-1109;EC-111;EC-1110;EC-1111;EC-1112;EC-1113;EC-1114;EC-1115;EC-1116;EC-1117;EC-1118;EC-1119;EC-1120;EC-1121;EC-1122;EC-1123;EC-1124;EC-1125;EC-1126;EC-1127;EC-1128;EC-1129;EC-1130;EC-1131;EC-1132;EC-1133;EC-1134;EC-1135;EC-1136;EC-1137;EC-1138;EC-1139;EC-1140;EC-1141;EC-1142;EC-1143;EC-1144;EC-1145;EC-1146;EC-1147;EC-1149;EC-1151;EC-1152;EC-1153;EC-1154;EC-122;EC-123;EC-146;EC-149;EC-150;EC-162;EC-186;EC-194;EC-20;EC-206;EC-207;EC-209;EC-223;EC-228;EC-232;EC-251;EC-255;EC-276;EC-281;EC-301;EC-309;EC-311;EC-334;EC-34;EC-369;EC-373;EC-394;EC-401;EC-76;EC-78;EC-79;EC-907;EC-909;EC-911;EC-986;EC-989;EC-990;EC-991;EC-992;EC-994;EC-995;EC-996;EC-997;EC-998;EC-999;EC-P62
EC-214	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1775;EC-1776;EC-1777;EC-1778;EC-1781;EC-1782;EC-1935;EC-1964;EC-1972;EC-83;EC-84;EC-90;EC-91
OXY-2-15	A-IV	BRO-2	OXY	Class_A	A	No	-	-	-	-	-	-	-	0	OXY-2-1;OXY-2-10;OXY-2-11;OXY-2-12;OXY-2-13;OXY-2-14;OXY-2-16;OXY-2-18;OXY-2-19;OXY-2-2;OXY-2-20;OXY-2-21;OXY-2-22;OXY-2-23;OXY-2-24;OXY-2-25;OXY-2-27;OXY-2-28;OXY-2-3;OXY-2-30;OXY-2-4;OXY-2-5;OXY-2-6;OXY-2-7;OXY-2-8;OXY-2-9
PDC-193	C-I	21243713_len_452_MetaAn_63	PDC	Class_C	C	No	-	-	-	-	-	-	-	0	PDC-100;PDC-101;PDC-102;PDC-104;PDC-105;PDC-106;PDC-112;PDC-115;PDC-122;PDC-126;PDC-127;PDC-134;PDC-135;PDC-137;PDC-143;PDC-152;PDC-153;PDC-158;PDC-159;PDC-177;PDC-178;PDC-188;PDC-199;PDC-19a;PDC-19b;PDC-211;PDC-213;PDC-219;PDC-22;PDC-220;PDC-23;PDC-235;PDC-241;PDC-245;PDC-248;PDC-249;PDC-251;PDC-253;PDC-256;PDC-271;PDC-274;PDC-275;PDC-28;PDC-280;PDC-281;PDC-284;PDC-288;PDC-290;PDC-304;PDC-306;PDC-318;PDC-320;PDC-323;PDC-324;PDC-325;PDC-333;PDC-336;PDC-34;PDC-35;PDC-354;PDC-357;PDC-358;PDC-359;PDC-360;PDC-361;PDC-37;PDC-370;PDC-372;PDC-38;PDC-383;PDC-385;PDC-387;PDC-389;PDC-393;PDC-395;PDC-397;PDC-398;PDC-403;PDC-404;PDC-408;PDC-413;PDC-427;PDC-429;PDC-435;PDC-436;PDC-439;PDC-447;PDC-449;PDC-451;PDC-453;PDC-456;PDC-457;PDC-46;PDC-467;PDC-468;PDC-469;PDC-470;PDC-475;PDC-476;PDC-477;PDC-489;PDC-498;PDC-500;PDC-516;PDC-517;PDC-536;PDC-539;PDC-542;PDC-547;PDC-548;PDC-552;PDC-553;PDC-556;PDC-557;PDC-56;PDC-561;PDC-564;PDC-566;PDC-569;PDC-572;PDC-573;PDC-576;PDC-59;PDC-64;PDC-65;PDC-68;PDC-70;PDC-86;PDC-95;PDC-96;PDC-99
PDC-379	C-I	21243713_len_452_MetaAn_63	PDC	Class_C	C	No	-	-	-	-	-	-	-	0	PDC-173;PDC-244;PDC-331;PDC-332;PDC-392;PDC-518;PDC-575
1085928_len_326_MetaAn_25	Ribonuclease Z	SPA_MetaAn_23_l308_st12520_e13443_se1_ID=1076_9	Undefined	Candidate	MBL	No	-	-	-	-	-	-	-	0	10466194_len_326_MetaAn_25;13042093_len_326_MetaAn_25;1410921_len_326_MetaAn_25;1517363_len_326_MetaAn_25;16316887_len_326_MetaAn_25;16342597_len_326_MetaAn_25;16527501_len_326_MetaAn_25;19902_len_326_MetaAn_25;3151458_len_326_MetaAn_25;380289_len_326_MetaAn_25;3979108_len_326_MetaAn_25;4680707_len_326_MetaAn_25;5501358_len_326_MetaAn_25;591511_len_326_MetaAn_25;8447509_len_326_MetaAn_25
12881024_len_297_MetaAn_23	Ribonuclease Z	SPA_MetaAn_23_l308_st12520_e13443_se1_ID=1076_9	Undefined	Candidate	MBL	No	-	-	-	-	-	-	-	0	10421153_len_297_MetaAn_23;12269033_len_297_MetaAn_23;12538891_len_297_MetaAn_23;17430007_len_297_MetaAn_23;2705151_len_297_MetaAn_23;4181792_len_297_MetaAn_23;9147357_len_297_MetaAn_23;9517560_len_297_MetaAn_23
148697_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	11637604_len_455_MetaAn_1;28132303_len_455_MetaAn_1;3212607_len_455_MetaAn_1;5522375_len_455_MetaAn_1
